PROVINCIA,CANTON,Suma de Total Compras,Suma de Total Ventas,Suma de Ventas Netas 0%,Suma de Ventas Netas 12%,Suma de Habitantes,Suma de Importaciones,Suma de Exportaciones,Suma de Compras Rise,Suma de Compras netas 12%,Suma de Compras netas 0%
CARCHI,BOLIVAR,31468169.82,39419216.68,18247104.819999993,6499279.279999999,15528,378018.73,14672832.579999998,498277.39,13241427.149999999,17350446.549999993
CARCHI,ESPEJO,44044251.82000001,51203903.27000001,27316924.779999994,10186954.71,13817,266534.56999999995,13700023.780000001,2622459.4700000007,19877290.859999992,21277966.92000001
CARCHI,MIRA,25290497.970000006,26009066.029999994,12645334.75,5721109.3100000005,11969,12832.24,7642621.969999999,1016506.9999999998,12382785.430000007,11878373.300000004
CARCHI,MONTUFAR,146524301.91000003,151443134.89000005,118227660.04000002,33214504.939999994,34229,766201.3199999998,969.91,5387597.93,49744853.980000004,90625648.68
CARCHI,SAN PEDRO DE HUACA,37535829.09999998,43004233.33999999,40192213.85000001,2811648.24,8931,5363335.51,371.25,3139235.2399999998,7826753.670000002,21206504.680000003
CARCHI,TULCAN,702276616.5299997,715729889.5700002,472930613.4099998,222321670.0300001,102395,29872186.06000001,20477606.13,10062135.799999999,284617512.63999987,377719599.95000005
CHIMBORAZO,ALAUSI,57770635.099999994,55443815.55,27762298.89999999,27681516.650000006,45054,30834.699999999997,0,3310720.5699999994,38096144.230000004,16332935.600000001
CHIMBORAZO,CHAMBO,39229550.6,40557593.65999998,27110549.549999997,13443956.210000003,13378,131569.09,3087.9,548677.8099999999,21404344.44,17144959.26
CHIMBORAZO,CHUNCHI,25809339.610000014,22057685.46999999,7255975.729999999,14798233.979999993,12795,96374.48,3475.7599999999998,17686.87,19449960.630000006,6245317.629999999
CHIMBORAZO,COLTA,30532044.500000004,24848546.58,12541462.18,11742799.019999998,44838,128909.12000000002,564285.38,529705.0299999999,21147300.96,8726129.390000006
CHIMBORAZO,CUMANDA,89000747.92000002,92300895.91999997,61867914.460000016,30432881.45999999,17973,89132.91,100,882974.9900000002,39980018.40999998,48049401.610000014
CHIMBORAZO,GUAMOTE,39302684.20000001,35692554.469999984,14336489.119999997,21355234.849999987,58291,67780.76,830.5,2131685.4300000006,27215568.690000005,9883220.719999999
CHIMBORAZO,GUANO,93307128.2,99209077.28000005,53409999.94000001,45798666.88000002,48395,5933036.3500000015,410.46000000000004,3906900.8199999994,55745061.96000002,27722129.069999993
CHIMBORAZO,PALLATANGA,29442111.999999985,30175563.479999997,17588101.55999999,12587461.920000002,12277,465686.5399999999,0,149887.22,17136497.81,11690040.429999998
CHIMBORAZO,PENIPE,18313653.830000002,14128930.789999995,5266248.73,8861822.060000002,6955,317871.11,860,157044.07000000004,14199136.559999995,3639602.09
CHIMBORAZO,RIOBAMBA,2007102086.1100001,2350629362.879999,1003244785.1199996,1337032464.8399997,264048,83070976.76000002,10352102.920000002,16868125.709999993,1258482556.5300004,645017717.2499998
COTOPAXI,LA MANA,313389609.42999995,393844222.9799999,268907184.32000005,121058754.47999996,56905,3287018.2300000004,3949204.38,5964285.119999999,151775177.26,152293997.25999993
COTOPAXI,LATACUNGA,2113974765.17,2477952619.3199997,1161098701.1199996,859861091.13,205624,119121134.79999998,457002811.12,35327174.69,1090024398.52,869398026.98
COTOPAXI,PANGUA,59188011.98,55802710.980000004,33050816.880000003,22750894.099999998,24612,269159.88999999996,1000,1463978.7799999998,34588551.95,22540126.129999995
COTOPAXI,PUJILI,121637661.66,126491659.44,66247453.28000003,56936670.420000024,79772,931661.79,3307535.74,963970.1500000001,76033015.44,43707588.58000001
COTOPAXI,SALCEDO,409094407.5200002,452573727.52000016,296188780.4699999,137061353.54999995,67100,26058100.229999997,19323593.500000004,5953007.1,178786512.03000003,198379077.28999993
COTOPAXI,SAQUISILI,80288292.91,82085118.76000002,44319043.45000002,33579484.740000024,31426,1031268.1799999999,4186590.5700000003,2185457.2299999995,47915357.039999984,29156210.45999999
COTOPAXI,SIGCHOS,35231847.150000006,24429264.82,12240624.140000002,12188634.680000003,23277,340127.4,6,150536.36,23312043.61,10494705.05
EL ORO,ARENILLAS,200666361.7999999,221280793.95,134989322.54,38216678.949999996,33473,2550056.12,48074792.45999999,3550980.4499999993,58832676.40999998,135732660.82000002
EL ORO,ATAHUALPA,10627173.38,10155376.200000003,4495801.13,5659575.07,6436,43654.380000000005,0,36724.88,7591377.229999997,2955416.8899999997
EL ORO,BALSAS,181068008.56000006,191517269.0299999,165403923.58999997,26087577.129999988,9233,2338041.83,25768.31,1153706.78,33485320.050000004,144090939.90000004
EL ORO,CHILLA,1263351.3600000003,1152718.9500000002,642808.1800000002,509910.77,2379,0,0,12307.300000000001,986878.75,264165.30999999994
EL ORO,EL GUABO,775749336.1500001,944454297.5,689629614.1000001,121883631.92000002,63645,2052037.1800000002,132941051.48,18351238.509999998,269037775.13,486308285.33000004
EL ORO,HUAQUILLAS,760216229.3699999,810424577.0099998,509417551.74000007,217487736.18999994,60440,58579183.93000001,83519289.08,7209867.590000001,253533413.26000002,440912817.73
EL ORO,LAS LAJAS,27142642.340000004,25423485.629999995,12094433.41,4323523.1,4963,35665.42,9005529.120000001,295891.31,6856255.22,19954830.390000008
EL ORO,MACHALA,6177707534.730001,7312481458.889997,4027933195.2199974,1705493545.8799996,289141,141205184.62000003,1579021735.7500005,97355800.25999999,2250038811.409999,3681755362.710001
EL ORO,MARCABELI,44359052.929999985,42495503.22,35382712.599999994,7111628.229999999,6259,87709.05000000002,1162.39,559504.14,11279251.589999996,32432588.14999999
EL ORO,PASAJE,603553971.5500002,754901200.8900001,458801050.05,188711361.1500001,87723,8039320.729999999,107414678.69000003,14729723.02,254825099.57999998,325962487.40000004
EL ORO,PIÑAS,334565386.1700001,353243788.02999985,205852593.37000003,119292904.74000004,30206,6919263.699999999,28098289.92,2368759.9699999997,146558551.42999995,178693811.07000005
EL ORO,PORTOVELO,142555119.08999997,152218447.12,34414982.41,56827206.81,14028,1613886.4299999997,60976257.89999999,913430.4599999998,108285025.29999998,31742776.900000006
EL ORO,SANTA ROSA,896519675.06,990889073.3399997,522090953.9399998,156157280.53999996,82171,2821335.52,312640838.86,10666599.579999998,265412308.02000004,617618111.0899998
EL ORO,ZARUMA,211633286.9800001,262843957.99000007,54391947.88000001,90574945.26999998,25654,15148642.68,117877064.84,938488.0900000001,138662738.29999992,56883417.90999997
ESMERALDAS,ATACAMES,132057675.61999995,124838388.24000004,53721572.769999996,70727545.04000002,55495,994397.0699999998,389270.43,754825.1199999999,93112001.97000001,37196451.45999999
ESMERALDAS,ELOY ALFARO,60481000.09,66872781.230000034,40649080.05999999,26215953.320000004,45629,369039.8399999999,7747.850000000001,3567024.36,37675039.780000016,18869896.110000007
ESMERALDAS,ESMERALDAS,1916720853.5999997,2146361826.3300004,1483975634.3099995,567839817.6999998,218727,29329250.779999994,94546363.11999997,12798186.890000002,665366722.5899999,1209080911.5299997
ESMERALDAS,MUISNE,36498304.470000006,37504299.129999995,27012277.39999999,10491721.729999995,31106,2213235.0700000003,300,809291.88,18538454.400000002,14937323.12
ESMERALDAS,QUININDE,711086260.8699999,818846987.19,615230370.8700001,146533212.99,145879,5239013.029999999,57083403.330000006,101410893.07999998,218823497.38999993,385618667.3700001
ESMERALDAS,RIO VERDE,68926726.11999997,75714906.63999999,47576057.13999999,25065206.77000001,31475,116728.84,3073642.7299999995,472204.7699999999,33450395.97999999,34887396.53000001
ESMERALDAS,SAN LORENZO,136591930.63000005,151575323.91,85031672.10999998,55876870.96,62772,705924.2799999999,10666780.84,3236768.75,77438813.83000001,55191175.1
GALAPAGOS,ISABELA,17624022.08,20395035.53,8299475.430000002,11744150.409999995,3073,66562.49,351409.69,47269.39,12411977.02,5098213.180000002
GALAPAGOS,SAN CRISTOBAL,108365154.03999999,176091302.34999996,118535127.77999997,36899181.81,9667,807921.46,20656992.76,940209.3900000001,75040067.84999996,31576955.339999996
GALAPAGOS,SANTA CRUZ,302394311.79999995,349573446.98,174856029.13,172048724.77999997,20302,8207587.249999999,2671302.44,1261304.2700000003,212818682.20000005,79849086.46999998
GUAYAS,ALFREDO BAQUERIZO MORENO,69827373.77,87516629.09,60112366.21000002,27333753.489999995,32110,332044.91000000003,70509.39,327355.57000000007,27378346.930000003,41789626.36
GUAYAS,BALAO,103961692.02000004,128271832.24999994,81527177.08,24796276.060000014,26348,437164.19999999995,21948379.110000003,1782167.4100000001,41095726.95000001,60646633.46000001
GUAYAS,BALZAR,204901630.80999997,235907337.4799999,140274875.43000004,80381311.68,60260,317197.76,15251150.370000003,9204307.689999998,84108882.09999996,111271243.26000005
